"BRTracker","BRTracker"
"Log de Notificações","Log de Notificações"
"Pedido Enviado","Pedido Enviado"
"Em Trânsito","Em Trânsito"
"Saiu Para Entrega","Saiu Para Entrega"
"Entregue","Entregue"
"Problema na Entrega","Problema na Entrega"
"Canal","Canal"
"Evento","Evento"
"Destinatário","Destinatário"
"Status","Status"
"Data","Data"
"Configurações","Configurações"
